S,I,R,time,iter 
782,0,3208,98,2
782,0,3208,99,2
782,0,3208,100,2
782,0,3208,101,2
782,0,3208,102,2
782,0,3208,103,2
782,0,3208,104,2
782,0,3208,105,2
782,0,3208,106,2
782,0,3208,107,2
782,0,3208,108,2
782,0,3208,109,2
782,0,3208,110,2
782,0,3208,111,2
782,0,3208,112,2
782,0,3208,113,2
782,0,3208,114,2
782,0,3208,115,2
782,0,3208,116,2
782,0,3208,117,2
782,0,3208,118,2
782,0,3208,119,2
782,0,3208,120,2
782,0,3208,121,2
782,0,3208,122,2
782,0,3208,123,2
782,0,3208,124,2
782,0,3208,125,2
782,0,3208,126,2
782,0,3208,127,2
782,0,3208,128,2
782,0,3208,129,2
782,0,3208,130,2
782,0,3208,131,2
782,0,3208,132,2
782,0,3208,133,2
782,0,3208,134,2
782,0,3208,135,2
782,0,3208,136,2
782,0,3208,137,2
782,0,3208,138,2
782,0,3208,139,2
782,0,3208,140,2
782,0,3208,141,2
782,0,3208,142,2
782,0,3208,143,2
782,0,3208,144,2
782,0,3208,145,2
782,0,3208,146,2
782,0,3208,147,2
782,0,3208,148,2
782,0,3208,149,2
782,0,3208,150,2
782,0,3208,151,2
4163,48,0,0,3
4163,48,0,1,3
4149,62,0,2,3
4127,84,0,3,3
4098,113,0,4,3
4065,146,0,5,3
3999,212,0,6,3
3933,278,0,7,3
3852,359,0,8,3
3749,462,0,9,3
3634,577,0,10,3
3497,666,48,11,3
3340,809,62,12,3
3150,977,84,13,3
2966,1132,113,14,3
2757,1308,146,15,3
2562,1437,212,16,3
2360,1573,278,17,3
2161,1691,359,18,3
1972,1777,462,19,3
1788,1846,577,20,3
1630,1867,714,21,3
1473,1867,871,22,3
1334,1816,1061,23,3
1221,1745,1245,24,3
1113,1644,1454,25,3
1042,1520,1649,26,3
973,1387,1851,27,3
934,1227,2050,28,3
900,1072,2239,29,3
868,920,2423,30,3
840,790,2581,31,3
820,653,2738,32,3
802,532,2877,33,3
788,433,2990,34,3
781,332,3098,35,3
777,265,3169,36,3
767,206,3238,37,3
764,170,3277,38,3
761,139,3311,39,3
758,110,3343,40,3
754,86,3371,41,3
751,69,3391,42,3
749,53,3409,43,3
748,40,3423,44,3
748,33,3430,45,3
747,30,3434,46,3
747,20,3444,47,3
747,17,3447,48,3
747,14,3450,49,3
747,11,3453,50,3
747,7,3457,51,3
747,4,3460,52,3
747,2,3462,53,3
747,1,3463,54,3
747,1,3463,55,3
747,0,3464,56,3
747,0,3464,57,3
747,0,3464,58,3
747,0,3464,59,3
747,0,3464,60,3
747,0,3464,61,3
747,0,3464,62,3
747,0,3464,63,3
747,0,3464,64,3
747,0,3464,65,3
747,0,3464,66,3
747,0,3464,67,3
747,0,3464,68,3
747,0,3464,69,3
747,0,3464,70,3
747,0,3464,71,3
747,0,3464,72,3
747,0,3464,73,3
747,0,3464,74,3
747,0,3464,75,3
747,0,3464,76,3
747,0,3464,77,3
747,0,3464,78,3
747,0,3464,79,3
747,0,3464,80,3
747,0,3464,81,3
747,0,3464,82,3
747,0,3464,83,3
747,0,3464,84,3
747,0,3464,85,3
747,0,3464,86,3
747,0,3464,87,3
747,0,3464,88,3
747,0,3464,89,3
