area_0,area_1,area_2,time,iter 
-22,-8,30,81,4
-22,-8,30,82,4
-22,-8,30,83,4
-22,-8,30,84,4
-22,-8,30,85,4
-22,-8,30,86,4
-22,-8,30,87,4
-22,-8,30,88,4
-22,-8,30,89,4
-22,-8,30,90,4
-22,-8,30,91,4
-22,-8,30,92,4
-22,-8,30,93,4
-22,-8,30,94,4
-22,-8,30,95,4
-22,-8,30,96,4
-22,-8,30,97,4
-22,-8,30,98,4
-22,-8,30,99,4
-22,-8,30,100,4
-22,-8,30,101,4
-22,-8,30,102,4
-22,-8,30,103,4
-22,-8,30,104,4
-22,-8,30,105,4
-22,-8,30,106,4
-22,-8,30,107,4
-22,-8,30,108,4
-22,-8,30,109,4
-22,-8,30,110,4
-22,-8,30,111,4
-22,-8,30,112,4
-22,-8,30,113,4
-22,-8,30,114,4
-22,-8,30,115,4
-22,-8,30,116,4
-22,-8,30,117,4
-22,-8,30,118,4
-22,-8,30,119,4
-22,-8,30,120,4
-22,-8,30,121,4
-22,-8,30,122,4
-22,-8,30,123,4
-22,-8,30,124,4
-22,-8,30,125,4
-22,-8,30,126,4
-22,-8,30,127,4
-22,-8,30,128,4
-22,-8,30,129,4
-22,-8,30,130,4
-22,-8,30,131,4
-22,-8,30,132,4
-22,-8,30,133,4
-22,-8,30,134,4
-22,-8,30,135,4
-22,-8,30,136,4
-22,-8,30,137,4
-22,-8,30,138,4
-22,-8,30,139,4
-22,-8,30,140,4
-22,-8,30,141,4
-22,-8,30,142,4
-22,-8,30,143,4
-22,-8,30,144,4
-22,-8,30,145,4
-22,-8,30,146,4
-22,-8,30,147,4
-22,-8,30,148,4
-22,-8,30,149,4
-22,-8,30,150,4
-22,-8,30,151,4
4,12,20,0,5
4,12,20,1,5
4,20,26,2,5
4,27,34,3,5
7,33,40,4,5
8,38,53,5,5
8,43,63,6,5
11,45,75,7,5
14,50,82,8,5
16,60,98,9,5
19,64,111,10,5
17,59,104,11,5
19,58,114,12,5
22,60,121,13,5
22,62,127,14,5
23,63,138,15,5
22,66,150,16,5
20,73,160,17,5
23,79,176,18,5
21,81,187,19,5
25,88,197,20,5
25,93,211,21,5
27,100,218,22,5
28,107,235,23,5
33,115,252,24,5
38,120,262,25,5
40,123,279,26,5
46,126,294,27,5
49,124,312,28,5
47,124,323,29,5
43,124,341,30,5
39,118,326,31,5
31,107,329,32,5
26,92,315,33,5
20,81,302,34,5
16,72,281,35,5
8,60,259,36,5
2,45,230,37,5
-7,32,199,38,5
-14,22,177,39,5
-19,12,139,40,5
-19,8,128,41,5
-19,3,112,42,5
-19,1,100,43,5
-20,-5,87,44,5
-20,-10,76,45,5
-20,-12,70,46,5
-20,-13,65,47,5
-21,-14,63,48,5
-21,-14,55,49,5
-21,-15,55,50,5
-21,-15,55,51,5
-21,-15,51,52,5
-21,-16,51,53,5
-21,-16,50,54,5
-21,-16,49,55,5
-21,-16,49,56,5
-21,-16,49,57,5
-21,-16,48,58,5
-21,-16,48,59,5
-21,-16,48,60,5
-21,-16,47,61,5
-21,-16,47,62,5
-21,-16,44,63,5
-21,-16,42,64,5
-21,-16,41,65,5
-21,-16,40,66,5
-21,-16,40,67,5
-21,-16,39,68,5
-21,-16,38,69,5
-21,-16,37,70,5
-21,-16,37,71,5
-21,-16,37,72,5
-21,-16,37,73,5
-21,-16,37,74,5
-21,-16,37,75,5
-21,-16,37,76,5
-21,-16,37,77,5
-21,-16,37,78,5
-21,-16,37,79,5
-21,-16,37,80,5
-21,-16,37,81,5
-21,-16,37,82,5
-21,-16,37,83,5
-21,-16,37,84,5
-21,-16,37,85,5
-21,-16,37,86,5
-21,-16,37,87,5
-21,-16,37,88,5
-21,-16,37,89,5
-21,-16,37,90,5
-21,-16,37,91,5
-21,-16,37,92,5
-21,-16,37,93,5
-21,-16,37,94,5
-21,-16,37,95,5
-21,-16,37,96,5
-21,-16,37,97,5
-21,-16,37,98,5
-21,-16,37,99,5
-21,-16,37,100,5
-21,-16,37,101,5
-21,-16,37,102,5
-21,-16,37,103,5
-21,-16,37,104,5
-21,-16,37,105,5
-21,-16,37,106,5
-21,-16,37,107,5
-21,-16,37,108,5
-21,-16,37,109,5
-21,-16,37,110,5
-21,-16,37,111,5
-21,-16,37,112,5
-21,-16,37,113,5
-21,-16,37,114,5
-21,-16,37,115,5
-21,-16,37,116,5
-21,-16,37,117,5
-21,-16,37,118,5
-21,-16,37,119,5
-21,-16,37,120,5
-21,-16,37,121,5
-21,-16,37,122,5
-21,-16,37,123,5
-21,-16,37,124,5
-21,-16,37,125,5
-21,-16,37,126,5
-21,-16,37,127,5
-21,-16,37,128,5
-21,-16,37,129,5
-21,-16,37,130,5
-21,-16,37,131,5
-21,-16,37,132,5
-21,-16,37,133,5
-21,-16,37,134,5
-21,-16,37,135,5
-21,-16,37,136,5
-21,-16,37,137,5
-21,-16,37,138,5
-21,-16,37,139,5
-21,-16,37,140,5
-21,-16,37,141,5
-21,-16,37,142,5
-21,-16,37,143,5
-21,-16,37,144,5
-21,-16,37,145,5
-21,-16,37,146,5
-21,-16,37,147,5
-21,-16,37,148,5
-21,-16,37,149,5
-21,-16,37,150,5
-21,-16,37,151,5
11,11,17,0,6
11,11,17,1,6
12,14,20,2,6
22,17,31,3,6
26,22,41,4,6
35,25,47,5,6
42,29,63,6,6
46,33,78,7,6
51,42,93,8,6
53,46,112,9,6
60,52,128,10,6
54,50,132,11,6
57,58,147,12,6
55,64,158,13,6
52,76,176,14,6
51,81,195,15,6
52,91,208,16,6
52,99,229,17,6
54,99,247,18,6
60,104,254,19,6
58,103,276,20,6
55,103,293,21,6
59,97,308,22,6
60,94,328,23,6
71,83,342,24,6
73,82,351,25,6
72,79,361,26,6
75,72,375,27,6
75,66,397,28,6
74,69,407,29,6
74,68,416,30,6
71,61,403,31,6
67,55,400,32,6
58,49,377,33,6
52,33,357,34,6
48,26,337,35,6
42,16,306,36,6
38,6,271,37,6
37,-7,230,38,6
27,-18,203,39,6
26,-29,163,40,6
26,-33,151,41,6
25,-35,124,42,6
25,-36,110,43,6
25,-40,99,44,6
25,-43,83,45,6
25,-45,76,46,6
25,-48,69,47,6
25,-51,65,48,6
25,-53,61,49,6
25,-54,59,50,6
25,-57,53,51,6
25,-58,52,52,6
25,-58,48,53,6
25,-58,46,54,6
25,-58,46,55,6
25,-58,47,56,6
25,-58,44,57,6
25,-58,41,58,6
25,-58,40,59,6
25,-58,40,60,6
25,-58,39,61,6
25,-58,38,62,6
25,-58,38,63,6
25,-58,37,64,6
25,-58,36,65,6
25,-58,34,66,6
25,-58,34,67,6
25,-58,34,68,6
25,-58,34,69,6
25,-58,33,70,6
25,-58,33,71,6
25,-58,33,72,6
25,-58,33,73,6
25,-58,33,74,6
25,-58,33,75,6
25,-58,33,76,6
25,-58,33,77,6
25,-58,33,78,6
25,-58,33,79,6
25,-58,33,80,6
25,-58,33,81,6
25,-58,33,82,6
25,-58,33,83,6
25,-58,33,84,6
25,-58,33,85,6
25,-58,33,86,6
25,-58,33,87,6
25,-58,33,88,6
25,-58,33,89,6
25,-58,33,90,6
25,-58,33,91,6
25,-58,33,92,6
25,-58,33,93,6
25,-58,33,94,6
25,-58,33,95,6
25,-58,33,96,6
25,-58,33,97,6
25,-58,33,98,6
25,-58,33,99,6
25,-58,33,100,6
25,-58,33,101,6
25,-58,33,102,6
25,-58,33,103,6
25,-58,33,104,6
25,-58,33,105,6
25,-58,33,106,6
25,-58,33,107,6
25,-58,33,108,6
25,-58,33,109,6
25,-58,33,110,6
25,-58,33,111,6
